183#4.52#1440599320.0#16:28, 26. Aug 2015
184.1#4.58#1440659534.73#09:12, 27. Aug 2015
183.3#4.58#1440666719.36#11:11, 27. Aug 2015
187.7#4.58#1440673904.83#13:11, 27. Aug 2015
187.9#4.58#1440681093.9#15:11, 27. Aug 2015
186.7#4.56#1440688287.77#17:11, 27. Aug 2015
190.0#4.58#1440882590.47#23:09, 29. Aug 2015
190.0#4.54#1440889794.6#01:09, 30. Aug 2015
190.0#4.59#1440896995.63#03:09, 30. Aug 2015
190.0#4.55#1440904193.99#05:09, 30. Aug 2015
189.4#4.57#1440911390.12#07:09, 30. Aug 2015
187.6#4.6#1440918584.68#09:09, 30. Aug 2015
185.8#4.56#1440925778.74#11:09, 30. Aug 2015
187.5#4.55#1440932974.17#13:09, 30. Aug 2015
186.0#4.57#1440940173.18#15:09, 30. Aug 2015
184.3#4.56#1440947377.2#17:09, 30. Aug 2015
183.7#4.59#1440954586.07#19:09, 30. Aug 2015
184.8#4.58#1440961796.02#21:09, 30. Aug 2015
183.8#4.57#1440969004.53#23:10, 30. Aug 2015
183.8#4.59#1440976210.31#01:10, 31. Aug 2015
183.8#4.55#1440983413.37#03:10, 31. Aug 2015
184.7#4.55#1440990614.18#05:10, 31. Aug 2015
184.7#4.58#1440997812.58#07:10, 31. Aug 2015
190.0#4.57#1441005008.97#09:10, 31. Aug 2015
190.0#4.55#1441012204.62#11:10, 31. Aug 2015
190.0#4.56#1441019401.01#13:10, 31. Aug 2015
190.0#4.55#1441026600.48#15:10, 31. Aug 2015
189.4#4.58#1441033804.26#17:10, 31. Aug 2015
187.4#4.54#1441041012.38#19:10, 31. Aug 2015
189.1#4.52#1441048221.0#21:10, 31. Aug 2015
189.6#4.57#1441055427.09#23:10, 31. Aug 2015
189.6#4.59#1441062629.65#01:10, 01. Sep 2015
189.6#4.57#1441069829.52#03:10, 01. Sep 2015
189.4#4.57#1441077027.03#05:10, 01. Sep 2015
189.4#4.54#1441084222.23#07:10, 01. Sep 2015
187.8#4.57#1441091415.75#09:10, 01. Sep 2015
188.4#4.55#1441098608.48#11:10, 01. Sep 2015
188.5#4.59#1441105802.65#13:10, 01. Sep 2015
188.5#4.58#1441113000.02#15:10, 01. Sep 2015
187.7#4.57#1441120202.53#17:10, 01. Sep 2015
186.3#4.59#1441127409.8#19:10, 01. Sep 2015
188.4#4.58#1441134617.69#21:10, 01. Sep 2015
188.4#4.57#1441141823.08#23:10, 01. Sep 2015
188.9#4.54#1441149025.22#01:10, 02. Sep 2015
188.9#4.58#1441156224.48#03:10, 02. Sep 2015
189.5#4.56#1441163421.2#05:10, 02. Sep 2015
189.8#4.57#1441170616.46#07:10, 02. Sep 2015
188.0#4.59#1441177810.27#09:10, 02. Sep 2015
186.9#4.51#1441185003.95#11:10, 02. Sep 2015
190.0#4.55#1441192199.01#13:09, 02. Sep 2015
190.0#4.56#1441199394.74#15:09, 02. Sep 2015
189.0#4.55#1441206591.01#17:09, 02. Sep 2015
187.5#4.58#1441213789.45#19:09, 02. Sep 2015
188.7#4.59#1441220988.78#21:09, 02. Sep 2015
189.0#4.58#1441228187.31#23:09, 02. Sep 2015
189.0#4.6#1441235383.99#01:09, 03. Sep 2015
188.9#4.58#1441242578.7#03:09, 03. Sep 2015
188.1#4.59#1441249771.6#05:09, 03. Sep 2015
